degree,symbol,meaning
130,早朝の露,試練、苦しみの克服、精神的な成長、自己理解
131,大きな樫の木にぶら下がっているブランコで遊ぶ子供たち,環境への気配り、思い込み、葛藤、克服
132,夕方のガーデンパーティー,エリート、優雅、余暇、娯楽、人間関係
133,揺れている年老いた船長,自己実現、成功、困難の乗り越え、苦労人、自信の獲得
134,表現の機会を待っている人間の魂,チャンスの活用、成功、名声、人気、仕事、行動力
135,山車,成功、願望の達成、充実した生活、良きパートナー
136,嵐の後の日差し,危機の乗り越え、立場の確立、大きな仕事
137,ベストを着ていない聖歌隊,集団への献身、組織の目的、個の犠牲、ボランティア
138,化学の教師,研究、探求、体系的な法則、専門知識、集中力
139,ハウスボートパーティー,立場の喪失、失脚、挫折、苦悩、新たな世界
140,ズニ族の太陽崇拝者,社会的な認知、人気や名声の獲得、成功、至福
141,興奮してめまいを起こした鶏,強力な破壊力、莫大なエネルギー、幻覚作用
142,伝書鳩,使命、奉仕、勤労、環境への順応、安定した生活
143,巧みな馬乗り,優れた技術の習得、芸術的な創造力、自己表現、個性的
144,身だしなみが整っていない男性,問題解決の必要性、感情のコントロール、変化、分裂、別れ
145,砂漠を横切る大きなラクダ,一つのことへの集中、専門的な能力、知的な成長、粘り強さ
146,虹,新しい時代を手掛ける、変化、使命、自己実現
147,夜明け,希望の実現、多くのチャンス、芸術的な才能、文化
148,大きな木の枝にとまるたくさんの小鳥,可能性の目覚め、転換、集中、熱狂、危険、異常
149,人魚,迷い、悲しみ、無力、無意識、思考力の低下、幼児性
150,開封された手紙,幸運の共有、意見交換、教示、知識
151,男性の頭,観察力、洞察力、思考の発達、知的好奇心、新たな世界
152,掲げられた大きな白い十字架,トラブル、苦難、犠牲、試練、孤立、再生、再活性
153,2人の守護天使,プレッシャー、苦しい状況、守護の到来、新たな可能性
154,一緒に遊んでいるさまざまな国の子供たち,偏見の排除、強い連帯感、潜在的な可能性
155,妖精の夢を見る男性,想像力の発達、思考の実現、新たな考え、夢、祈り
156,メリーゴーランド,強い自我、自己中心的、能力の開発、新たな環境
157,ハレム,安定しているが退屈な生活、虚しさ、倦怠、待機、不安
158,初めてのダンスレッスン,コミュニケーションの難、情緒不安定、混乱、分裂、苦悩
159,未来派の絵を描く男性,独創性、個性、人気、チャンス、成功
160,影の向こうを覗く2つの頭,見たくない現実、裏切り、絶望、恐怖、動揺
161,母親の期待の型にはめられた息子,願望の実現、意識の現実化、特定の道、集中力
162,ベールをはずされた花嫁,秘密の露見、真実を知ること、苦難、落胆、神秘
163,政治ヒステリーを鎮静化する力強い手,社会的な権力、有力者からの援助、カリスマ性、克己心
164,家系図,家族愛、同族意識、仲間の連帯感、集団への帰属
165,見事な装飾のハンカチーフ,重大な方向転換、生きるための努力や戦い、強いプレッシャー
166,オランウータン,カルマ的な人間関係の対立、過去世の敵、厳しい状況
167,噴火している火山,意識的な破壊、清算、浄化、過去との決別、社会的地位の向上
168,ウィジャボード,高度な探求、専門技術、学問、神秘、占星術
169,水泳のレース,集団に属すること、組織の立ち上げ、社会的な行動
170,車のキャラバン隊,組織での仕事、社会制度、プレッシャー、不安、使命、責任
171,女子バスケットボールチーム,社会的な指導、リーダーシップ、協調性、誠実、純粋
172,王家の紋章,高い社会的地位、物質的満足、単調な生活、保護、空虚、退屈
173,動物の調教師,厳しい状況、苦しい決断、過去との決別、悲哀、別れ
174,メリーさんと白い子羊,狭い人間関係、精神的な重圧、苦労、試練、純粋、固執
175,半旗として掲げられた旗,社会的な認知、立場の確立、能力の進化、自己浄化
176,香炉を持つ少年,宗教、心霊現象、組織への参加、前向きな人生
177,お茶会に集う貴婦人たち,文化的、芸術、豪華、人気、幸運、裕福、チャンス
178,禿頭の男性,社会的義務の遂行、重い責任、地位を守ること、熱心、熱狂
179,読んでいる書類から秘密の知識を得る男性,自己実現、自己探求、目的への集中、才能の開花、霊的な成長
180,急ぎの仕事に集中していたために耳に入らなかった間違い電話,使命への全力集中、徹底的な追求、現実の直視、新境地
181,針に刺され完全な標本となった蝶,死、犠牲、過去との決別、方向転換、新たな世界
182,6番目の部族の光が7番目のものに変容する,新たな状況、義務の遂行、創造的な才能、考えの変容
183,新しい日の夜明け、全てが変わった,突発的な変化、ターニングポイント、新たなアイデンティティ
184,キャンプファイヤーを囲むグループ,家庭、趣味のグループ、親密な人間関係、熱中、熱心
185,真の内面的価値を教える男性,人生の目的、心の整理、組織との関わり、社会的な認知
186,男性の理想は十分に結晶化される,理想の実現、仕事への集中、強い意志、強引、悲しみ
187,鶏に餌を与え鷹から守る女性,絶望、苦悩、悲哀、別離、分裂、変化、霊的能力
188,廃屋の中で火が燃えている暖炉,保護、救いの手、癒し、新たな希望、再スタート
189,アートギャラリーに掛けられた3人の巨匠,指導者、リーダーシップ、献身、社会性、精神性
190,急流を通り抜けて安全な場所に辿り着いたカヌー,動揺の克服、挫折の乗り越え、方向転換、変化、行動
191,眼鏡越しにじっと見ている教授,啓蒙、指導者、リーダーシップ、エリート、社会的地位の向上
192,鉱山から出てくる炭鉱夫たち,深い知識、叡智、研究、技術、集中力
193,シャボン玉を吹いている子供たち,未来の計画、夢、幻想、想像力、理想と現実の乖離による不満
194,正午の昼寝,人間関係の衝突、ネガティブの切り替え、休養や娯楽の必要性
195,円形の道,安定した生活リズム、穏やか、退屈、変化に対する不安
196,押し流されて陸に上がったボート,傷心、苦悩、自我、極限の無意識、逆境での勇気
197,引退した船長,危機回避、有力者からの援助、困難の乗り越え、感謝の学び
198,逮捕された2人の男性,不運な結果、自己責任、人間関係のトラブル、忍耐
199,隠れている泥棒集団,反抗、反骨心、自由な振る舞い、強い願望、夢への逃避
200,ユダヤ人のラビ,遺伝的な才能、保守的な考え、社会的な成功、責任重大
201,海岸の群衆,大きな成功、人生の喜び、自己実現、エネルギッシュ
202,噴水で鳥に水をやる子供,失敗、挫折、苦悩、不安、心配、新たな道の渇望
203,おんどり,チャレンジ精神、方向転換、環境変化、社会的な認知、指導者の必要性
204,蝶の左側の3番目の羽,精神的な成長、恵まれた環境、価値観の変化、霊的能力
205,秋の葉の象徴が伝える情報,専門的な能力、特殊な技術、進歩的な考え、哲学
206,互いに入れ替わる鷹と大きな白い鳩,迷い、苦悩、精神的な弱さ、可能性の実現、経済的満足の獲得
207,頭上を飛んでいる飛行機,常識にとらわれない考え、新しい価値観、広い視野
208,明るくなる影響の最中にいる男性,周囲からの援助、霊的な力によるフォロー、危機や失敗の回避
209,世代間の知識に橋を架けようと模索する人類,知識の吸収、技術の習得、真理の追求、コミュニティへの帰属
210,哲学者の頭にある3つの知識のこぶ,深い知識、伝統的な知恵、研究、探求、学習、専門領域
211,観光バス,広い世界を目指す、社会的な使命、可能性の実現
212,割れたビンとこぼれた香水,過去との決別、過去への哀愁、悲しみ、カルマ
213,上棟式,コミュニティへの帰属、協力、調和、連帯感、順応性
214,火のついたろうそくを運ぶ若者,象徴性、儀式、宗教、文化、教育、精神世界
215,頑丈で大きな岩場の海岸,長期的な忍耐、厳しい状況、現実の壁、立場の喪失
216,ゴールドラッシュ,ワガママによる別離、故郷を捨てる、ネガティブ思考、自己防衛
217,深海の潜水夫,深層心理、潜在意識、スピリチュアルな世界の探求、表現者
218,湖面を横切って輝く月,心の静寂、瞑想、想像力、発想力、霊感、満足な生活
219,歯科医の仕事,一時的な苦悩、否定的な事柄、緊張、不運
220,親睦を深める夕食会,結束力、連帯感、リーダーシップ、プレッシャー、理想の実現
221,救助される溺れた男性,他者からの援助、コミュニティ参加の必要性、自己革新、精神世界の探求
222,大使館の舞踏会,社会的な成功、人気、飛躍、地位の獲得、エリート
223,実験をしている発明家,自己実現への努力、優れた発想力、プレッシャーの克服
224,仕事中の電話線作業員,マスコミ、芸能、社交、娯楽、成功、人々に対する励まし
225,5つの砂山の周りで遊ぶ子供たち,優れた思考力、自由自在、特定の目標、立場の放棄
226,破顔一笑する少女,優しさ、包容力、内面の成長、能力の発達、仕事の成功
227,自分自身の子供の父である女性,霊的な導き、高次元な思考、方向転換、新たな世界、決断、集中
228,秋に色づいた豪華な森,完成後の転換、変化による成長、チャンスの獲得、能力の発揮
229,聞いた会話を喋るオウム,知識、教育、情報、伝達、変化、新たなチャンス
230,2つの暗い色のカーテンを引いて開ける女性,幸福、成功、名声、自己確立、精神世界、未知の世界
231,職務を放棄した兵士,破壊、再生、放棄、反抗、革命、方向転換、プレッシャー
232,アヒルに向かって進み出るハンターたち,社会的認知、社会的地位、リーダーシップ、責任、成功
233,妖精に変身するウサギ,感性の発達、繊細な感覚、精神世界、芸術、芸能、技術
234,1人の男性の話を聞くために山から降りてきた群集,環境変化、考え方の刷新、社会的な努力、生きるための戦い、プレッシャー
235,レントゲン写真,専門知識の習得、正常な思考、安定した生活、退屈、倦怠
236,引っ越してキャンプをつくっているインディアンたち,突然の環境変化、試される適応力、社会的な役割や責任
237,行進する軍楽隊,文化、芸術、芸能、水商売、華麗な生活
238,自分の領土に近づく妖精の王,忠誠心、熱意、傾倒、集中力、プレッシャー、心霊的な危険
239,酋長に自分の子供たちの命乞いをするインディアンの女性,深い悲しみ、究極の愛、生命エネルギー、スピリチュアルな世界
240,ハロウィンのおふざけ,自由への渇望、緊張からの解放、組織からの離脱、くだらない遊び
241,偉大な軍隊のキャンプファイヤー,サバイバル能力、変化への対応、新たな世界、上昇志向
242,白波で覆われた大洋,行動力、集中力、多忙、変化、プレッシャー、リズミカル
243,チェスをする2人の男性,人間関係の悪化、衝突、苦悩、悲哀、葛藤、カルマ
244,歩く練習をする小さな子供,心理的な問題の解決、感傷の乗り越え、コンプレックスの克服、精神世界
245,木の高いところにいる年老いたフクロウ,思考、戦略、評論、哲学、能力開発、孤独、望まぬ変化
246,クリケットの試合,人間関係のしがらみ、限られた環境、自由の必要性、能力の発揮
247,心のドアをノックするキューピッド,ロマンチックな恋愛、幸運、成功、芸術、精神世界
248,岩とその内部で形成されているもの,危険な状況、苦悩、争い、分裂、暴力、心霊
249,階段にいる子連れの母親,援助の必要性、問題解決への集中、可能性への挑戦
250,金髪の幸運の女神,努力の報酬、願望の成就、成功、発展、人気、強運
251,寺院の左側にある物質的な悟りをもたらすランプ,逞しい身体、行動力、エネルギー、チャンス、スポーツ、自然
252,鳴き声を上げる鷲に変化する旗,新時代の開拓、新しい生活、方向転換、タフな精神
253,明るみに出る未亡人の過去,過去の償い、カルマの解消、アイデンティティの確立
254,ピラミッドとスフィンクス,家族の絆、家族愛、深い叡智、霊的能力
255,自分の影を探すグランドホッグ,変化、波乱万丈、可能性、新たな展開、援助を受ける
256,船を見ているカモメ,膠着状態、拘束、不自由、忍耐、情緒不安定
257,復活祭の日の出の礼拝,復活、再生、地位の上昇、組織での活躍、プレッシャー
258,日除け帽子をかぶっている小さな子供たち,自己防衛、学習、研究、技術習得、信念、集中力
259,住処を移動するペンギンたち,サバイバル、生活のための努力、変化への対応、移動、移転、転職
260,氷を切り出す男性たち,長期的な忍耐、大きな努力、退屈な生活、わずかな希望
261,借りた眼鏡をかけている子供と犬,本質的な理解、模倣による学習、精神的リーダーシップ、破壊的な衝動
262,中国人が営むクリーニング店,苦しい精神状態、逆境、孤独、忍耐、つまらない生活
263,移民の入国,新生活、創造力、過去との決別、環境変化による好転
264,家のドアにとまっている青い鳥,幸運な人生、多くのチャンス、精神的満足の欠如
265,おもちゃの馬に跨った少し太った少年,豊かなエネルギー、新しい力、創造力、社会性、芸術、霊感
266,旗手,理想主義、努力、冷たい現実、周囲との不一致
267,彫刻家,芸術的な創造力、仕事への集中力、チャンス、発展
268,美しい渓流に架けられた古い橋,経済的な問題、社会的な責任、精神的な満足、稀有な才能
269,芝を刈っている太った少年,安定した生活、堅実、謙虚、創造力、思考力
270,法王,人気、脚光、スター性、能力の発展、社会的な成功
271,認識を求めるインディアンの酋長,社会的リーダーシップ、社会的責任、大きなプレッシャー、指導力、カルマ
272,3つのステンドグラスの窓のうち、1つは爆撃で破壊されている,社会的なプレッシャー、経済的な課題、過去との決別、トラブルの対処
273,成長と理解に対して受容的な人間の魂,強い自己主張、地位の確立、孤独、人間関係の不和、精神的な苦悩
274,大きなカヌーに乗り込む一団,厳しい現実、人間関係の不和、流動的な状況、新たな展開
275,カヌーを漕ぎ、戦いの踊りを踊るインディアン,熱意、信仰、夢中、強引さ、環境との不調和、新しい状況
276,暗いアーチ状の道と下に横たわっている10本の丸太,不安の乗り越え、失敗の克服、完結した経験、方向転換、新しい道
277,ベールに包まれた力のある予言者,霊的、求道、信仰、試練、抑圧、別離、再出発、リーダーシップ
278,幸せそうに歌う家の中の鳥,満足できる環境、苦労の後の安定、保護、幸せ、チャンス
279,ハープを運ぶ天使,変化、流動的、強い信念、リーダーシップ、社会的な活躍
280,手から餌をもらうアホウドリ,自己信頼、不安の克服、願望の実現、挫折と方向転換
281,キジの大きな群れ,社会的な飛躍、上昇意欲、自己確立、リーダーシップ、失脚
282,自然の講義を受ける生徒,研究、探求、学習、調査、知識、知恵、集中力
283,火の崇拝者,大きな苦悩、極限的な状況、厳しいカルマ、絶望、死
284,御影石に刻まれた古代のレリーフ,古典的な文化や芸能、継承、娯楽、遊び、名声、不合理
285,病院の小児病棟にあるたくさんのおもちゃ,経済的利益の追求、援助、チャンス、戦い、プレッシャー
286,体操着の少年少女,スポーツ、身体、労働、鍛錬、行動力
287,人知れず入浴する少女,自由への逃避、集団からの離脱、一線を超える、自己表現
288,イギリスの国旗,人間関係、政治的、古い価値観、一般的な生活、打算
289,大きな買い物袋を持った5歳くらいの子供,チャンス、成功、社会的な認知、自己実現、未知の世界、結婚
290,歌っている隠れた合唱団,社会的な成功、幸せな家庭、何不自由ない人生、霊的な価値観
291,リレー競争,成功、急上昇、猪突猛進、能力の発揮、争い、政治的
292,敗北を優雅に受け入れる将軍,挫折、失敗、衝突、分裂、精神力の必要性
293,戦場での勇敢さに与えられた2つの賞,社会的な認知、成功、才能、チャンス、仕事中心、自己確立
294,修道院に入る女性,精神的な苦悩、家族への依存、狭い環境、孤独に対する恐怖
295,東洋の織物を扱う商人,能力の発揮、才能の活用、専門性による有利さ
296,水の妖精,情緒不安定の克服、物質的な豊かさ、法則の発見、無意識のカルマ
297,山の巡礼,社会的な上昇、精神的な成長、カルマの清算、和解
298,大きな鳥小屋,失敗、挫折、動揺、混乱、幻覚、心霊的な関心と危険
299,紅茶占いをしている女性,知的能力、理解力、判断力、洞察力、直感力、霊的能力
300,秘密の商談,社会的な権力、重要な役割、自己実現、管理能力、保守的
301,古いレンガ造りの伝道所,使命、義務、責任、苦悩、裏切り、別離、忍耐、自己犠牲
302,予期せぬ雷雨,カルマによる出来事、危機、受難、過去との決別、未知の世界
303,海軍からの脱走兵,背負いきれないプレッシャー、立場の放棄、忍耐、逆境
304,インドの治療者,求道、信仰、宗教、心理学、精神世界、自己探求
305,先祖たちの委員会,厳しい現実、立場の喪失、生活の変化、失業、離婚、新たな方向性
306,ミステリー劇の出演者,仕事の目標の実現、生きるための戦い、プレッシャー、堅実な生活
307,卵から産まれた子供,精神的な成長、エゴからの脱却、求道、悟り、芸術的な才能
308,美しい衣装に身を包んだ蝋人形,中心的存在、オピニオンリーダー、人気、成功
309,鷲に変化する旗,危機、破壊、強いプレッシャー、戦い、行動、新たな価値観
310,一時的なものと証明された人気,精神的な危機、弱点、失敗、挫折、現実逃避
311,自分のインスピレーションと向き合う男性,願望の実現、熱心、夢中、チャンス、霊的な交流
312,階段で上へと順に並んでいる人々,意見の相違、人間関係の不和、エゴの理解、社会的な上昇
313,バロメーター,価値観の変化、危機の乗り越え、方向転換、先見性、計画力、指導力
314,トンネルに入る列車,チャンス、成功、人脈、コミュニケーション能力、マスコミ、芸能関係
315,フェンスの上にとまっている2羽のラブバード,素晴らしいパートナー、良好な人間関係、幸せな生活
316,机で仕事をしている偉大なビジネスマン,大きな仕事、仕事熱心、自己実現、プレッシャー、不満、失敗のリスク
317,見張っている番犬,自由の制限、義務の遂行、圧迫、忍耐、犠牲、価値観の変化
318,仮面をはがされた男性,潜在的な願望、真の目的の発見、自己革命、情熱、専門知識の習得
319,鎮火された山火事,トラブル、プレッシャー、破壊的、立場の喪失、逆境、援助、カルマ
320,大きな白い鳩、メッセージの使者,成功、有名、人気、愛情、安定、幸福、霊的な至福
321,失望し、幻滅した女性,破壊的な状況、人間関係の不和、緊張、変化、苦悩、不安、生き直し
322,子供たちが遊ぶために床に敷かれた織物,他者からの理解、支持や援助を受ける、社会的な上昇、有名
323,座って手足を振っている大きな熊,訓練、修行、集中力、緊張感、厳しい状況、アスリート、技術者、表現者
324,情熱に背を向け、経験によって教える男性,別離、悲哀、苦悩、絶望、感情の超越、変化への対応、新たな状況
325,右の羽がより完璧に形成されている蝶,思考力、弱さの克服、過去との決別、常識的、安定した生活
326,浮き秤,科学技術、専門知識、時代の先端、満足できる環境
327,スミレでいっぱいの古代の陶器,高度な感性、繊細さ、華やかさ、美、芸術、芸能、有名
328,倒されノコギリで切られた木,生きるための努力、収入のための妥協、処世術、カルマ
329,さなぎから出てくる蝶,自己脱皮、精神的な成長、悲しみの乗り越え、運命的な変化
330,アーダスが咲いている野原,仕事の完成、十分な実績、新たな目的、ターニングポイント、幸運、チャンス
331,公共の市場,ビジネスの適性、商才、交流、金銭の追求、知的好奇心
332,ハンターから隠れているリス,失敗、苦悩、プレッシャー、忍耐、競争社会、方向転換
333,化石化した森,強烈なプレッシャー、方向転換、立場の放棄、自己防衛
334,狭い地峡での交通渋滞,複雑な社会生活、多忙、経験、自己実現、大きな可能性
335,教会のバザー,経済的な豊かさ、利益の追求、ビジネス適性、専門的な能力
336,正装で行進している将校たち,集団、組織、環境との調和、自我の抑制、安定した生活
